0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-nan(ind)		-nan(ind)
0.005		0.00163934		0.00185048
0.006		0.00209346		0.0020195
0.007		0.00255683		0.0021145
0.008		0.00301308		0.00216566
0.009		0.003457		0.00220226
0.01		0.00389543		0.00224263
0.011		0.00434609		0.00229428
0.012		0.00483389		0.00235792
0.013		0.00538604		0.0024319
0.014		0.00602743		0.00251513
0.015		0.00677718		0.00260843
0.016		0.00764695		0.00271472
0.017		0.00864048		0.00283833
0.018		0.0097543		0.00298383
0.019		0.0109789		0.00315488
0.02		0.0123002		0.0033533
0.021		0.0137012		0.00357867
0.022		0.0151631		0.0038284
0.023		0.0166667		0.00409826
0.024		0.0181928		0.00438295
0.025		0.0197236		0.0046767
0.026		0.0212427		0.00497381
0.027		0.0227352		0.0052689
0.028		0.0241885		0.0055572
0.029		0.0255918		0.00583461
0.03		0.0269362		0.00609773
0.031		0.0282149		0.00634388
0.032		0.0294224		0.00657106
0.033		0.0305553		0.00677785
0.034		0.0316111		0.00696339
0.035		0.032589		0.00712727
0.036		0.0334891		0.00726949
0.037		0.0343122		0.00739039
0.038		0.0350604		0.00749059
0.039		0.0357359		0.00757091
0.04		0.036342		0.00763235
0.041		0.0368818		0.00767603
0.042		0.0373594		0.00770316
0.043		0.0377786		0.00771502
0.044		0.0381436		0.00771291
0.045		0.0384589		0.00769812
0.046		0.0387288		0.00767195
0.047		0.0389576		0.00763568
0.048		0.0391498		0.00759053
0.049		0.0393097		0.00753772
0.05		0.0394416		0.00747838
0.051		0.0395496		0.00741361
0.052		0.0396378		0.00734446
0.053		0.03971		0.00727192
0.054		0.03977		0.00719693
0.055		0.0398214		0.0071204
0.056		0.0398677		0.00704318
0.057		0.0399121		0.00696606
0.058		0.0399578		0.00688983
0.059		0.0400076		0.00681522
0.06		0.0400643		0.00674292
0.061		0.0401306		0.00667362
0.062		0.0402087		0.00660795
0.063		0.0403011		0.00654654
0.064		0.0404097		0.00648997
0.065		0.0405365		0.00643882
0.066		0.0406833		0.00639363
0.067		0.0408516		0.00635492
0.068		0.041043		0.00632318
0.069		0.0412587		0.00629886
0.07		0.0415		0.0062824
0.071		0.0417679		0.00627417
0.072		0.0420633		0.00627453
0.073		0.042387		0.00628377
0.074		0.0427397		0.00630215
0.075		0.0431219		0.00632988
0.076		0.0435343		0.00636709
0.077		0.043977		0.0064139
0.078		0.0444504		0.00647035
0.079		0.0449547		0.00653642
0.08		0.04549		0.00661207
0.081		0.0460563		0.00669718
0.082		0.0466535		0.00679161
0.083		0.0472816		0.00689515
0.084		0.0479404		0.0070076
0.085		0.0486296		0.00712867
0.086		0.049349		0.0072581
0.087		0.0500982		0.00739558
0.088		0.0508768		0.00754077
0.089		0.0516845		0.00769334
0.09		0.0525208		0.00785294
0.091		0.0533851		0.00801923
0.092		0.054277		0.00819184
0.093		0.055196		0.00837042
0.094		0.0561413		0.00855461
0.095		0.0571126		0.00874407
0.096		0.0581091		0.00893846
0.097		0.0591302		0.00913743
0.098		0.0601754		0.00934066
0.099		0.0612439		0.00954783
0.1		0.0623351		0.00975863
0.101		0.0634484		0.00997276
0.102		0.0645831		0.0101899
0.103		0.0657386		0.0104099
0.104		0.0669141		0.0106323
0.105		0.068109		0.0108569
0.106		0.0693228		0.0110835
0.107		0.0705546		0.0113119
0.108		0.0718039		0.0115418
0.109		0.07307		0.0117729
0.11		0.0743522		0.0120051
0.111		0.0756501		0.0122382
0.112		0.0769628		0.012472
0.113		0.0782899		0.0127063
0.114		0.0796307		0.0129409
0.115		0.0809846		0.0131756
0.116		0.082351		0.0134103
0.117		0.0837295		0.0136448
0.118		0.0851193		0.013879
0.119		0.08652		0.0141127
0.12		0.0879311		0.0143458
0.121		0.0893519		0.0145782
0.122		0.0907821		0.0148098
0.123		0.092221		0.0150404
0.124		0.0936683		0.0152699
0.125		0.0951234		0.0154982
0.126		0.0965859		0.0157252
0.127		0.0980554		0.0159509
0.128		0.0995313		0.0161751
0.129		0.101013		0.0163977
0.13		0.102501		0.0166188
0.131		0.103994		0.0168381
0.132		0.105492		0.0170557
0.133		0.106994		0.0172714
0.134		0.1085		0.0174852
0.135		0.110011		0.017697
0.136		0.111524		0.0179069
0.137		0.113041		0.0181147
0.138		0.114561		0.0183203
0.139		0.116083		0.0185238
0.14		0.117607		0.0187251
0.141		0.119133		0.0189242
0.142		0.120661		0.019121
0.143		0.12219		0.0193155
0.144		0.12372		0.0195076
0.145		0.125251		0.0196974
0.146		0.126782		0.0198848
0.147		0.128314		0.0200699
0.148		0.129846		0.0202524
0.149		0.131378		0.0204326
0.15		0.13291		0.0206102
0.151		0.134441		0.0207854
0.152		0.135972		0.0209581
0.153		0.137501		0.0211284
0.154		0.13903		0.0212961
0.155		0.140557		0.0214613
0.156		0.142083		0.021624
0.157		0.143607		0.0217842
0.158		0.14513		0.0219418
0.159		0.14665		0.0220969
0.16		0.148169		0.0222496
0.161		0.149685		0.0223997
0.162		0.1512		0.0225473
0.163		0.152711		0.0226924
0.164		0.154221		0.0228349
