0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-nan(ind)		-nan(ind)
0.005		9.35948e-40		1.10688e-39
0.006		5.12914e-33		6.0659e-33
0.007		3.25896e-28		3.85416e-28
0.008		1.28107e-24		1.51504e-24
0.009		7.89303e-22		9.33457e-22
0.01		1.3309e-19		1.57397e-19
0.011		8.75396e-18		1.03527e-17
0.012		2.84423e-16		3.36368e-16
0.013		5.37489e-15		6.35652e-15
0.014		6.63833e-14		7.85069e-14
0.015		5.83638e-13		6.90225e-13
0.016		3.89439e-12		4.60557e-12
0.017		2.07111e-11		2.44931e-11
0.018		9.11925e-11		1.07843e-10
0.019		3.42564e-10		4.05106e-10
0.02		1.12453e-09		1.32981e-09
0.021		3.28915e-09		3.88947e-09
0.022		8.70899e-09		1.02982e-08
0.023		2.11502e-08		2.50088e-08
0.024		4.76282e-08		5.63148e-08
0.025		1.00367e-07		1.18667e-07
0.026		1.9946e-07		2.35815e-07
0.027		3.76291e-07		4.44849e-07
0.028		6.77705e-07		8.01127e-07
0.029		1.1709e-06		1.38404e-06
0.03		1.94887e-06		2.30346e-06
0.031		3.13634e-06		3.70669e-06
0.032		4.89585e-06		5.78569e-06
0.033		7.43391e-06		8.78428e-06
0.034		1.10069e-05		1.30051e-05
0.035		1.59266e-05		1.88161e-05
0.036		2.25648e-05		2.6656e-05
0.037		3.13577e-05		3.70395e-05
0.038		4.28089e-05		5.05602e-05
0.039		5.74912e-05		6.78938e-05
0.04		7.60481e-05		8.97987e-05
0.041		9.91933e-05		0.000117116
0.042		0.00012771		0.000150768
0.043		0.000162447		0.000191756
0.044		0.00020432		0.000241156
0.045		0.000254301		0.000300114
0.046		0.000313419		0.000369841
0.047		0.000382753		0.000451605
0.048		0.000463424		0.000546726
0.049		0.000556591		0.000656566
0.05		0.000663443		0.000782525
0.051		0.000785194		0.000926027
0.052		0.000923071		0.00108852
0.053		0.00107831		0.00127145
0.054		0.00125216		0.00147628
0.055		0.00144586		0.00170447
0.056		0.00166062		0.00195745
0.057		0.00189766		0.00223663
0.058		0.00215816		0.00254342
0.059		0.00244327		0.00287917
0.06		0.00275413		0.0032452
0.061		0.0030918		0.00364277
0.062		0.00345734		0.00407311
0.063		0.00385173		0.00453739
0.064		0.00427591		0.0050367
0.065		0.00473077		0.0055721
0.066		0.00521713		0.00614456
0.067		0.00573578		0.00675498
0.068		0.00628741		0.00740421
0.069		0.00687268		0.00809301
0.07		0.00749217		0.00882208
0.071		0.00814639		0.00959202
0.072		0.00883581		0.0104034
0.073		0.00956081		0.0112567
0.074		0.0103217		0.0121522
0.075		0.0111188		0.0130904
0.076		0.0119522		0.0140714
0.077		0.0128221		0.0150954
0.078		0.0137286		0.0161626
0.079		0.0146717		0.0172729
0.08		0.0156513		0.0184264
0.081		0.0166674		0.0196229
0.082		0.0177197		0.0208622
0.083		0.0188081		0.0221443
0.084		0.0199322		0.0234687
0.085		0.0210918		0.0248351
0.086		0.0222866		0.0262432
0.087		0.023516		0.0276925
0.088		0.0247797		0.0291825
0.089		0.0260772		0.0307127
0.09		0.0274079		0.0322825
0.091		0.0287712		0.0338912
0.092		0.0301666		0.0355382
0.093		0.0315935		0.0372228
0.094		0.033051		0.0389443
0.095		0.0345387		0.0407019
0.096		0.0360557		0.0424948
0.097		0.0376013		0.0443221
0.098		0.0391747		0.0461831
0.099		0.0407752		0.0480769
0.1		0.0424019		0.0500026
0.101		0.0440541		0.0519592
0.102		0.0457309		0.0539459
0.103		0.0474315		0.0559617
0.104		0.0491549		0.0580057
0.105		0.0509005		0.0600769
0.106		0.0526672		0.0621744
0.107		0.0544543		0.0642972
0.108		0.0562608		0.0664442
0.109		0.0580859		0.0686146
0.11		0.0599286		0.0708074
0.111		0.0617882		0.0730215
0.112		0.0636637		0.075256
0.113		0.0655543		0.07751
0.114		0.0674591		0.0797823
0.115		0.0693772		0.0820722
0.116		0.0713078		0.0843785
0.117		0.07325		0.0867004
0.118		0.075203		0.089037
0.119		0.077166		0.0913872
0.12		0.0791381		0.0937501
0.121		0.0811185		0.0961248
0.122		0.0831064		0.0985105
0.123		0.085101		0.100906
0.124		0.0871016		0.103311
0.125		0.0891074		0.105724
0.126		0.0911175		0.108144
0.127		0.0931314		0.110571
0.128		0.0951482		0.113004
0.129		0.0971672		0.115442
0.13		0.0991878		0.117884
0.131		0.101209		0.120329
0.132		0.103231		0.122776
0.133		0.105252		0.125226
0.134		0.107272		0.127676
0.135		0.109291		0.130127
0.136		0.111307		0.132577
0.137		0.11332		0.135027
0.138		0.115329		0.137474
0.139		0.117335		0.139919
0.14		0.119336		0.142362
0.141		0.121332		0.1448
0.142		0.123322		0.147234
0.143		0.125306		0.149663
0.144		0.127284		0.152087
0.145		0.129254		0.154505
0.146		0.131217		0.156916
0.147		0.133172		0.15932
0.148		0.135119		0.161717
0.149		0.137057		0.164105
0.15		0.138985		0.166485
0.151		0.140905		0.168856
0.152		0.142814		0.171217
0.153		0.144713		0.173568
0.154		0.146601		0.175909
0.155		0.148478		0.178239
