0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-nan(ind)		-nan(ind)
0.005		0.00237673		0
0.006		0.00486443		0
0.007		0.00766979		0
0.008		0.0103267		0
0.009		0.0125797		0
0.01		0.0143658		0
0.011		0.0157389		0
0.012		0.0168013		0
0.013		0.0176603		0
0.014		0.0184077		0
0.015		0.0191138		0
0.016		0.019829		0
0.017		0.0205876		0
0.018		0.0214116		0
0.019		0.022315		0
0.02		0.0233056		0
0.021		0.0243874		0
0.022		0.0255616		0
0.023		0.0268276		0
0.024		0.0281833		0
0.025		0.0296255		0
0.026		0.0311505		0
0.027		0.032754		0
0.028		0.0344313		0
0.029		0.0361777		0
0.03		0.0379882		0
0.031		0.039858		0
0.032		0.0417824		0
0.033		0.0437567		0
0.034		0.0457768		0
0.035		0.0478385		0
0.036		0.049938		0
0.037		0.052072		0
0.038		0.0542372		0
0.039		0.0564309		0
0.04		0.0586506		0
0.041		0.060894		0
0.042		0.0631591		0
0.043		0.0654442		0
0.044		0.0677479		0
0.045		0.0700688		0
0.046		0.0724059		0
0.047		0.0747581		0
0.048		0.0771249		0
0.049		0.0795054		0
0.05		0.0818991		0
0.051		0.0843057		0
0.052		0.0867246		0
0.053		0.0891557		0
0.054		0.0915987		0
0.055		0.0940533		0
0.056		0.0965195		0
0.057		0.098997		0
0.058		0.101486		0
0.059		0.103986		0
0.06		0.106497		0
0.061		0.109019		0
0.062		0.111552		0
0.063		0.114096		0
0.064		0.116651		0
0.065		0.119217		0
0.066		0.121793		0
0.067		0.124379		0
0.068		0.126977		0
0.069		0.129584		0
0.07		0.132202		0
0.071		0.13483		0
0.072		0.137468		0
0.073		0.140116		0
0.074		0.142774		0
0.075		0.145442		0
0.076		0.148118		0
0.077		0.150805		0
0.078		0.1535		0
0.079		0.156204		0
0.08		0.158917		0
0.081		0.161638		0
0.082		0.164367		0
0.083		0.167105		0
0.084		0.169851		0
0.085		0.172604		0
0.086		0.175364		0
0.087		0.178132		0
0.088		0.180907		0
0.089		0.183688		0
0.09		0.186475		0
0.091		0.189269		0
0.092		0.192068		0
0.093		0.194873		0
0.094		0.197682		0
0.095		0.200497		0
0.096		0.203316		0
0.097		0.20614		0
0.098		0.208967		0
0.099		0.211798		0
0.1		0.214632		0
0.101		0.217469		0
0.102		0.220308		0
0.103		0.223149		0
0.104		0.225993		0
0.105		0.228837		0
0.106		0.231682		0
0.107		0.234528		0
0.108		0.237374		0
0.109		0.24022		0
0.11		0.243065		0
0.111		0.245909		0
0.112		0.248752		0
0.113		0.251592		0
0.114		0.25443		0
0.115		0.257266		0
0.116		0.260098		0
0.117		0.262926		0
0.118		0.26575		0
0.119		0.26857		0
0.12		0.271384		0
0.121		0.274193		0
0.122		0.276996		0
0.123		0.279793		0
0.124		0.282582		0
0.125		0.285364		0
0.126		0.288139		0
0.127		0.290905		0
0.128		0.293662		0
0.129		0.29641		0
0.13		0.299149		0
0.131		0.301877		0
0.132		0.304594		0
0.133		0.307301		0
0.134		0.309996		0
0.135		0.312679		0
0.136		0.31535		0
0.137		0.318008		0
0.138		0.320653		0
0.139		0.323284		0
0.14		0.325901		0
0.141		0.328503		0
0.142		0.33109		0
0.143		0.333663		0
0.144		0.336219		0
0.145		0.338759		0
0.146		0.341283		0
0.147		0.34379		0
0.148		0.346279		0
0.149		0.348751		0
0.15		0.351205		0
0.151		0.353641		0
0.152		0.356058		0
0.153		0.358456		0
0.154		0.360834		0
0.155		0.363193		0
0.156		0.365533		0
0.157		0.367852		0
0.158		0.37015		0
0.159		0.372428		0
0.16		0.374685		0
0.161		0.37692		0
0.162		0.379134		0
0.163		0.381327		0
0.164		0.383497		0
0.165		0.385645		0
0.166		0.387771		0
0.167		0.389874		0
0.168		0.391955		0
0.169		0.394013		0
0.17		0.396047		0
0.171		0.398059		0
0.172		0.400047		0
0.173		0.402012		0
0.174		0.403953		0
0.175		0.40587		0
0.176		0.407764		0
0.177		0.409634		0
0.178		0.41148		0
0.179		0.413301		0
0.18		0.415099		0
0.181		0.416872		0
0.182		0.418622		0
0.183		0.420347		0
0.184		0.422047		0
0.185		0.423724		0
0.186		0.425376		0
0.187		0.427004		0
0.188		0.428608		0
0.189		0.430187		0
0.19		0.431742		0
0.191		0.433273		0
0.192		0.43478		0
0.193		0.436262		0
0.194		0.437721		0
0.195		0.439155		0
0.196		0.440566		0
0.197		0.441952		0
0.198		0.443315		0
0.199		0.444654		0
0.2		0.44597		0
0.201		0.447261		0
0.202		0.44853		0
0.203		0.449775		0
0.204		0.450997		0
0.205		0.452195		0
0.206		0.453371		0
0.207		0.454524		0
0.208		0.455654		0
0.209		0.456761		0
0.21		0.457846		0
0.211		0.458908		0
0.212		0.459949		0
0.213		0.460967		0
0.214		0.461963		0
0.215		0.462938		0
0.216		0.463891		0
0.217		0.464823		0
0.218		0.465733		0
0.219		0.466623		0
0.22		0.467491		0
0.221		0.468338		0
0.222		0.469165		0
0.223		0.469972		0
0.224		0.470758		0
0.225		0.471525		0
0.226		0.472271		0
0.227		0.472998		0
